Num,linkjugador,busquedasus,clubactual,nacionalidad,ligapremium,campeones,altura,patrocinador,nike,goles1819,asistencias1819,minutos1819,golhora,asishora,goahora,goahorapond,seguidoretwitter,edad,edad2,mayor30,posicióncancha,izquierdo,valormill
147,Yussuf Poulsen,60500,RasenBallsport Leipzig,Dinamarca,0,0,1.93,,0,13,6,1987,0.3925515853,0.1811776548,0.5737292401,0.3640517295,12.5,24,576,0,Delantero centro,0,20
148,Adama Traoré,74000,Wolverhampton Wanderers,España,1,1,1.78,,0,1,2,932,0.0643776824,0.1287553648,0.1931330472,0.07305781936,11.1,23,529,0,Extremo derecho,0,18
149,Alireza Jahanbakhsh,49500,Brighton & Hove Albion,Irán,1,0,1.8,,0,0,0,619,0,0,0,0,,25,625,0,Extremo derecho,0,18
150,Andrija Zivkovic,6600,SL Benfica,Serbia,0,0,1.69,,0,0,7,1257,0,0.3341288783,0.3341288783,0.04505108471,,22,484,0,Extremo derecho,0,18
151,Bernard,,FC Everton,Brasil,1,1,1.64,,0,1,4,1268,0.04731861199,0.1892744479,0.2365930599,0.0664587247,1180,26,676,0,Extremo izquierdo,1,18
152,Bertrand Traoré,18100,Olympique Lyonnais,Burkina Faso,0,0,1.81,,0,9,4,1837,0.2939575395,0.1306477953,0.4246053348,0.2719382481,,23,529,0,Extremo derecho,0,18
153,Chris Wood,640000,,,0,0,1.91,,0,6,1,1712,0.2102803738,0.03504672897,0.2453271028,0.1866533655,,27,729,0,,0,18
154,Diogo Jota,33100,Wolverhampton Wanderers,Portugal,1,0,1.78,,0,5,2,1270,0.2362204724,0.09448818898,0.3307086614,0.2171105016,20.1,22,484,0,Extremo izquierdo,1,18
155,Domenico Berardi,14800,US Sassuolo,Italia,0,1,1.83,,0,5,4,1877,0.1598295152,0.1278636121,0.2876931273,0.1555195058,,24,576,0,Extremo derecho,0,18
156,Dusan Tadic,27100,AFC Ajax Amsterdam,Serbia,0,0,1.81,,0,21,13,2837,0.4441311244,0.2749383151,0.7190694395,0.4213186108,,30,900,0,Extremo izquierdo,1,18
157,Maximilian Philipp,834,Borussia Dortmund,Alemania,0,1,1.83,,0,2,2,852,0.1408450704,0.1408450704,0.2816901408,0.1408450704,,24,576,0,Media punta,0,18
158,Nathan Redmond,12100,,,0,0,1.73,adidas,0,5,4,2329,0.1288106483,0.1030485187,0.231859167,0.1253371028,101,24,576,0,,0,18
159,Quincy Promes,40500,Sevilla FC,Países Bajos,1,0,1.74,,0,4,6,2176,0.1102941176,0.1654411765,0.2757352941,0.1177296761,21.7,27,729,0,Extremo izquierdo,1,18
160,Raúl Jiménez,110000,Wolverhampton Wanderers,México,1,0,1.88,,0,8,6,1973,0.2432843386,0.1824632539,0.4257475925,0.2350837429,,27,729,0,Delantero centro,0,18
161,Rodrigo de Paul,18100,Udinese Calcio,Argentina,0,1,1.8,Puma,0,6,3,1906,0.1888772298,0.0944386149,0.2833158447,0.1761439334,63.3,24,576,0,Extremo izquierdo,1,18
162,Samu Castillejo,1246,AC Milan,España,0,1,1.82,adidas,0,2,2,998,0.120240481,0.120240481,0.2404809619,0.120240481,,24,576,0,Extremo derecho,0,18
163,Shoya Nakajima,8100,Portimonense SC,Japón,0,0,1.64,adidas,0,5,6,1257,0.2386634845,0.2863961814,0.5250596659,0.2450993537,,24,576,0,Extremo izquierdo,1,18
164,Victor Moses,110000,Fenerbahce Istanbul,Nigeria,0,0,1.77,Nike,1,0,0,176,0,0,0,0,1150,28,784,0,Extremo derecho,0,18
165,Vincent Aboubakar,27100,FC Porto,Camerún,0,0,1.84,,0,4,2,565,0.4247787611,0.2123893805,0.6371681416,0.3961419907,,27,729,0,Delantero centro,0,18
166,Diego Perotti,33100,AS Roma,Argentina,0,1,1.79,,0,1,0,218,0.2752293578,0,0.2752293578,0.2381197815,60.8,30,900,0,Extremo izquierdo,1,17.5
167,Iago Falque,33100,Torino FC,España,0,1,1.74,Nike,1,3,6,1270,0.1417322835,0.2834645669,0.4251968504,0.1608422543,,29,841,0,Extremo derecho,0,17.5
168,Eduardo Salvio,22200,SL Benfica,Argentina,0,1,1.73,,0,4,5,1224,0.1960784314,0.2450980392,0.4411764706,0.2026878167,209,28,784,0,Extremo derecho,0,17
169,Kasper Dolberg,40500,AFC Ajax Amsterdam,Dinamarca,0,0,1.87,adidas,0,8,4,1230,0.3902439024,0.1951219512,0.5853658537,0.3639353247,,21,441,0,Delantero centro,0,17
170,Lucas Alario,18100,Bayer 04 Leverkusen,Argentina,0,1,1.84,adidas,0,7,2,1119,0.3753351206,0.1072386059,0.4825737265,0.339187276,281,26,676,0,Delantero centro,0,17
171,Paulinho,,Bayer 04 Leverkusen,Brasil,0,1,1.77,,0,1,0,356,0.1685393258,0,0.1685393258,0.1458149224,75,18,324,0,Extremo izquierdo,1,17
172,Reiss Nelson,8100,TSG 1899 Hoffenheim,Inglaterra,0,1,1.75,adidas,0,7,1,815,0.5153374233,0.0736196319,0.5889570552,0.4557799683,,19,361,0,Extremo derecho,0,17
173,Emiliano Sala,22200,Cardiff City,Argentina,1,1,1.87,,0,13,2,1466,0.5320600273,0.08185538881,0.6139154161,0.4713582783,43.5,28,784,0,Delantero centro,0,16
174,Franco Cervi,1231,SL Benfica,Argentina,0,1,1.66,,0,3,4,1652,0.1089588378,0.1452784504,0.2542372881,0.1138558642,,24,576,0,Extremo izquierdo,1,16
175,Jesús Corona,8100,FC Porto,México,0,0,1.73,Nike,1,5,8,2003,0.149775337,0.2396405392,0.3894158762,0.1618919935,,26,676,0,Extremo derecho,0,16
176,Papu Gómez,49500,Atalanta Bergamo,Argentina,0,1,1.65,adidas,0,7,9,2347,0.1789518534,0.2300809544,0.4090328078,0.1858456648,,30,900,0,Media punta,0,16
177,Adnan Januzaj,90500,Real Sociedad,Bélgica,1,0,1.86,New Balance,0,1,3,985,0.06091370558,0.1827411168,0.2436548223,0.07733987338,643,23,529,0,Extremo derecho,0,15
178,Ahmed Musa,110000,Al-Nasr Riyadh,Nigeria,0,0,1.71,,0,5,4,1212,0.2475247525,0.198019802,0.4455445545,0.2408499277,176,26,676,0,Delantero centro,0,15
179,Alfred Finnbogason,9900,FC Augsburg,Islandia,0,0,1.84,,0,7,3,997,0.4212637914,0.1805416249,0.6018054162,0.38880687,44.2,29,841,0,Delantero centro,0,15
180,Andre Gray,566,FC Watford,Inglaterra,1,1,1.78,,0,4,0,788,0.3045685279,0,0.3045685279,0.2635031084,,27,729,0,Delantero centro,0,15
181,André Schürrle,33100,FC Fulham,Alemania,1,1,1.84,adidas,0,6,0,1605,0.2242990654,0,0.2242990654,0.1940564948,1980,28,784,0,Extremo izquierdo,1,15
182,Andros Townsend,2600,,,0,0,1.81,adidas,0,7,2,2416,0.1738410596,0.04966887417,0.2235099338,0.1570987425,341,27,729,0,,0,15
183,Breel Embolo,33100,FC Schalke 04,Suiza,0,0,1.84,Nike,1,3,1,951,0.1892744479,0.06309148265,0.2523659306,0.1722610144,,21,441,0,Delantero centro,0,15
184,Daniel Sturridge,135000,FC Liverpool,Inglaterra,1,1,1.8,,0,4,1,576,0.4166666667,0.1041666667,0.5208333333,0.3745318352,,29,841,0,Delantero centro,0,15
185,Danny Welbeck,110000,FC Arsenal,Inglaterra,1,1,1.83,Nike,1,5,1,604,0.4966887417,0.09933774834,0.5960264901,0.4431133269,293,28,784,0,Delantero centro,0,15
186,Darío Benedetto,22200,Club Atlético Boca Juniors,Argentina,0,1,1.77,,0,0,1,366,0,0.1639344262,0.1639344262,0.02210351814,,28,784,0,Delantero centro,0,15
187,Davie Selke,14800,Hertha Berlin,Alemania,0,1,1.94,,0,1,5,942,0.06369426752,0.3184713376,0.3821656051,0.09804623202,,24,576,0,Delantero centro,0,15
188,Dominic Calvert-Lewin,12100,,,0,0,1.87,Nike,1,6,2,917,0.3925845147,0.1308615049,0.5234460196,0.357296019,38.1,21,441,0,,0,15
189,Guido Carrillo,444,CD Leganés,Argentina,1,1,1.91,,0,5,0,1375,0.2181818182,0,0.2181818182,0.1887640449,,27,729,0,Delantero centro,0,15
190,Hélder Costa,9900,Wolverhampton Wanderers,Portugal,1,0,1.79,,0,2,2,1393,0.08614501077,0.08614501077,0.1722900215,0.08614501077,15.8,25,625,0,Extremo derecho,0,15
191,João Félix,14800,SL Benfica,Portugal,0,0,1.8,,0,6,1,892,0.4035874439,0.06726457399,0.4708520179,0.3582405401,,19,361,0,Media punta,0,15
192,Joelinton,9900,TSG 1899 Hoffenheim,Brasil,0,1,1.86,,0,9,7,1934,0.2792140641,0.2171664943,0.4963805584,0.2708480996,,22,484,0,Delantero centro,0,15
193,Jonathan Bamba,22200,LOSC Lille Métropole,Francia,0,1,1.75,Nike,1,8,2,1757,0.2731929425,0.06829823563,0.3414911781,0.2455666899,,22,484,0,Extremo izquierdo,1,15
194,José Salomón Rondón,880,Newcastle United,Venezuela,1,0,1.86,,0,6,3,1272,0.2830188679,0.141509434,0.4245283019,0.2639389442,,29,841,0,Delantero centro,0,15
195,Joshua King,33100,,,0,0,1.81,,0,6,3,1746,0.206185567,0.1030927835,0.3092783505,0.1922854164,,27,729,0,,0,15
196,Kelechi Iheanacho,33100,Leicester City,Nigeria,1,0,1.85,Nike,1,2,4,1156,0.1038062284,0.2076124567,0.3114186851,0.1178025738,206,22,484,0,Delantero centro,0,15
197,Krzysztof Piatek,18000,AC Milan,Polonia,0,0,1.83,adidas,0,19,1,1792,0.6361607143,0.03348214286,0.6696428571,0.5549006822,,23,529,0,Delantero centro,0,15
198,Lars Stindl,18100,Borussia Mönchengladbach,Alemania,0,1,1.8,,0,2,3,891,0.1346801347,0.202020202,0.3367003367,0.1437596943,45.3,30,900,0,Media punta,0,15
199,Loren Morón,9900,,,0,0,1.85,,0,5,2,1663,0.1803968731,0.07215874925,0.2525556224,0.1658029688,,25,625,0,,0,15
200,Mohamed Elyounoussi,12100,,,0,0,1.78,,0,0,0,923,0,0,0,0,,24,576,0,,0,15
201,Moise Kean,49500,Juventus de Turín,Italia,0,1,1.83,,0,1,0,76,0.7894736842,0,0.7894736842,0.6830277942,,18,324,0,Delantero centro,0,15
202,Munas Dabbur,8100,Red Bull Salzburg,Israel,0,0,1.82,Nike,1,20,6,2275,0.5274725275,0.1582417582,0.6857142857,0.4776886035,,26,676,0,Delantero centro,0,15
203,Niclas Füllkrug,,Hannover 96,Alemania,0,1,1.89,,0,3,2,1190,0.1512605042,0.1008403361,0.2521008403,0.1444622793,,25,625,0,Delantero centro,0,15
204,Olivier Giroud,550000,Chelsea FC,Francia,1,1,1.92,Puma,0,5,5,1138,0.2636203866,0.2636203866,0.5272407733,0.2636203866,2540,32,1024,1,Delantero centro,0,15
205,Patrik Schick,40500,AS Roma,República Checa,0,0,1.9,,0,4,2,1057,0.2270577105,0.1135288553,0.3405865658,0.2117504491,,23,529,0,Delantero centro,0,15
206,Ricardo Goulart,40500,Sociedade Esportiva Palmeiras,Brasil,0,1,1.83,adidas,0,146,77,2233,3.922973578,2.068965517,5.991939095,3.672994963,,27,729,0,Media punta,0,15
207,Ryan Fraser,696,AFC Bournemouth,Escocia,0,0,1.63,,0,6,10,2067,0.1741654572,0.290275762,0.4644412192,0.1898207792,,24,576,0,Extremo izquierdo,1,15
208,Yannick Bolasie,33100,FC Everton,RD del Congo,1,0,1.85,,0,2,5,953,0.1259181532,0.314795383,0.4407135362,0.151384746,189,29,841,0,Extremo izquierdo,1,15
209,Christian Kouamé,1000,Genoa CFC,Costa de Marfil,0,0,1.85,,0,3,5,1687,0.106698281,0.1778304683,0.2845287493,0.1162891377,,21,441,0,Delantero centro,0,14
210,François Kamano,1600,FC Girondins de Bordeaux,Guinea,0,0,1.82,,0,11,2,2284,0.288966725,0.05253940455,0.3415061296,0.2570888841,,22,484,0,Extremo izquierdo,1,14
211,Gerard Deulofeu,40500,FC Watford,España,1,1,1.77,Nike,1,3,3,1095,0.1643835616,0.1643835616,0.3287671233,0.1643835616,1040,24,576,0,Extremo derecho,0,14
212,Karl Toko Ekambi,9900,Villarreal CF,Camerún,1,0,1.85,,0,11,4,1529,0.4316546763,0.1569653368,0.5886200131,0.3946179114,,26,676,0,Delantero centro,0,14
213,Leandro Trossard,6600,KRC Genk,Bélgica,0,0,1.72,,0,17,8,2174,0.4691812328,0.2207911684,0.6899724011,0.4356904376,,24,576,0,Extremo izquierdo,1,14
214,Lucas Ocampos,22200,Olympique de Marseille,Argentina,0,1,1.87,,0,3,2,1901,0.09468700684,0.06312467123,0.1578116781,0.09043141103,147,24,576,0,Extremo izquierdo,1,14
215,Nikola Kalinic,135000,Atlético de Madrid,Croacia,1,0,1.87,,0,4,1,935,0.256684492,0.06417112299,0.320855615,0.2307276332,,31,961,1,Delantero centro,0,14
216,Stevan Jovetic,9900,AS Monaco,Montenegro,0,0,1.83,,0,1,1,355,0.1690140845,0.1690140845,0.338028169,0.1690140845,,29,841,0,Delantero centro,0,14
217,Wesley,,Club Brugge KV,Brasil,0,1,1.91,,0,11,6,2284,0.288966725,0.1576182137,0.4465849387,0.2712568134,,22,484,0,Delantero centro,0,14
218,Sebastián Driussi,4400,Zenit St. Petersburg,Argentina,0,1,1.79,,0,6,10,1723,0.208937899,0.3482298317,0.5571677307,0.2277188338,372,22,484,0,Delantero centro,0,13.5
219,Artem Dzyuba,642,Zenit St. Petersburg,Rusia,0,0,1.96,,0,10,7,1973,0.3041054232,0.2128737962,0.5169792195,0.2918045297,,30,900,0,Delantero centro,0,13
220,Joaquín Correa,40500,Lazio,Argentina,0,1,1.88,adidas,0,5,5,1299,0.2309468822,0.2309468822,0.4618937644,0.2309468822,171,24,576,0,Extremo izquierdo,1,13
221,José Izquierdo,566,Brighton & Hove Albion,Colombia,1,0,1.71,,0,0,2,614,0,0.1954397394,0.1954397394,0.02635142554,32,26,676,0,Extremo izquierdo,1,13
222,Simone Zaza,49500,Torino FC,Italia,0,1,1.86,Nike,1,1,4,1007,0.05958291956,0.2383316783,0.2979145978,0.08368387579,53.8,27,729,0,Delantero centro,0,13
223,Taison,880,Shakhtar Donetsk,Brasil,0,1,1.72,,0,4,9,1625,0.1476923077,0.3323076923,0.48,0.1725842697,,31,961,1,Extremo izquierdo,1,13
224,Wout Weghorst,14800,VfL Wolfsburg,Países Bajos,0,0,1.97,adidas,0,7,2,1684,0.2494061758,0.07125890736,0.3206650831,0.2253863194,,26,676,0,Delantero centro,0,13
225,Bruma,,RasenBallsport Leipzig,Portugal,0,0,1.73,Nike,1,3,3,1258,0.1430842607,0.1430842607,0.2861685215,0.1430842607,,24,576,0,Extremo izquierdo,1,12.5
226,Fedor Smolov,14800,Lokomotiv Moskva,Rusia,0,0,1.87,Nike,1,4,2,1104,0.2173913043,0.1086956522,0.3260869565,0.2027357108,,28,784,0,Delantero centro,0,12.5
227,Marko Pjaca,60500,ACF Fiorentina,Croacia,0,0,1.86,Nike,1,1,1,677,0.08862629247,0.08862629247,0.1772525849,0.08862629247,,23,529,0,Extremo izquierdo,1,12.5
228,Matheus Cunha,6600,RasenBallsport Leipzig,Brasil,0,1,1.84,Nike,1,7,1,1266,0.3317535545,0.04739336493,0.3791469194,0.2934128548,,19,361,0,Delantero centro,0,12.5
229,Roberto Inglese,18100,Parma Calcio 1913,Italia,0,1,1.86,adidas,0,8,1,1335,0.3595505618,0.04494382022,0.404494382,0.3171316753,,27,729,0,Delantero centro,0,12.5
230,Britt Assombalonga,5400,,,0,0,1.77,,0,9,0,1553,0.3477141017,0,0.3477141017,0.3008313015,70.1,26,676,0,,0,12
231,Chicharito,368000,West Ham United,México,1,0,1.75,Nike,1,5,2,983,0.3051881994,0.1220752798,0.4272634791,0.280498817,9040,30,900,0,Delantero centro,0,12
232,Daniel Ginczek,8100,VfL Wolfsburg,Alemania,0,1,1.91,Puma,0,6,5,1156,0.3114186851,0.2595155709,0.5709342561,0.3044205124,,27,729,0,Delantero centro,0,12
233,Danny Ings,90500,FC Southampton,Inglaterra,1,1,1.78,Nike,1,8,1,1233,0.3892944039,0.04866180049,0.4379562044,0.3433664124,305,26,676,0,Delantero centro,0,12
234,Falcao,368000,AS Monaco,Colombia,0,0,1.77,Nike,1,9,2,1855,0.2911051213,0.06469002695,0.3557951482,0.2605772434,,32,1024,1,Delantero centro,0,12
235,Grégoire Defrel,3600,UC Sampdoria,Francia,0,1,1.79,Nike,1,7,2,1430,0.2937062937,0.08391608392,0.3776223776,0.2654199733,,27,729,0,Delantero centro,0,12
236,Ihlas Bebou,2900,Hannover 96,Togo,0,0,1.85,,0,4,3,1080,0.2222222222,0.1666666667,0.3888888889,0.2147315855,,24,576,0,Extremo derecho,0,12
237,Javairô Dilrosun,4400,Hertha Berlin,Países Bajos,0,0,1.75,,0,2,4,951,0.1261829653,0.2523659306,0.3785488959,0.1431963988,,20,400,0,Extremo izquierdo,1,12
238,Jay Rodríguez,33100,West Bromwich Albion,Inglaterra,1,1,1.85,,0,14,3,2431,0.3455368161,0.07404360346,0.4195804196,0.3089309897,,29,841,0,Delantero centro,0,12
239,Josip Brekalo,9900,VfL Wolfsburg,Croacia,0,0,1.8,,0,2,2,985,0.1218274112,0.1218274112,0.2436548223,0.1218274112,,20,400,0,Extremo izquierdo,1,12
240,Jürgen Locadia,8100,Brighton & Hove Albion,Países Bajos,1,0,1.85,,0,2,1,1083,0.1108033241,0.05540166205,0.1662049861,0.1033334371,18.1,25,625,0,Delantero centro,0,12
241,Karim Bellarabi,14800,Bayer 04 Leverkusen,Alemania,0,1,1.84,,0,8,4,1029,0.4664723032,0.2332361516,0.6997084548,0.4350247322,32,28,784,0,Extremo derecho,0,12
242,Kévin Gameiro,40500,Valencia CF,Francia,1,1,1.72,,0,3,3,1197,0.1503759398,0.1503759398,0.3007518797,0.1503759398,299,31,961,1,Delantero centro,0,12
243,Maxwel Cornet,9900,Olympique Lyonnais,Costa de Marfil,0,0,1.79,adidas,0,4,0,623,0.3852327448,0,0.3852327448,0.3332912511,,22,484,0,Extremo derecho,0,12
244,Michail Antonio,12100,West Ham United,Inglaterra,1,1,1.8,Umbro,0,3,4,1508,0.1193633952,0.1591511936,0.2785145889,0.1247280422,83.8,28,784,0,Extremo derecho,0,12
245,Munir El Haddadi,49500,Sevilla FC,España,1,1,1.75,adidas,0,2,1,508,0.2362204724,0.1181102362,0.3543307087,0.2202954968,,23,529,0,Delantero centro,0,12
246,Nacer Chadli,3240,AS Monaco,Bélgica,0,0,1.87,adidas,0,0,0,1028,0,0,0,0,,29,841,0,Extremo izquierdo,1,12
247,Steven Berghuis,8100,Feyenoord Rotterdam,Países Bajos,0,0,1.82,,0,7,11,2177,0.192926045,0.3031694993,0.4960955443,0.207790331,,27,729,0,Extremo derecho,0,12
248,Willem Geubbels,14800,AS Monaco,Francia,0,1,1.85,,0,0,0,27,0,0,0,0,,17,289,0,Extremo izquierdo,1,12
249,Antonio Candreva,18100,Inter de Milán,Italia,0,1,1.81,,0,3,1,516,0.3488372093,0.1162790698,0.4651162791,0.3174810557,,31,961,1,Extremo derecho,0,11
250,Jean-Philippe Mateta,3600,1.FSV Mainz 05,Francia,0,1,1.92,,0,6,2,1557,0.2312138728,0.07707129094,0.3082851638,0.2104306034,,21,441,0,Delantero centro,0,11
251,Marlos,,Shakhtar Donetsk,Ucrania,0,0,1.74,,0,7,2,1475,0.2847457627,0.0813559322,0.3661016949,0.2573224148,,30,900,0,Extremo derecho,0,11
252,Matías Vargas,8100,,,0,0,1.68,,0,4,0,1201,0.1998334721,0,0.1998334721,0.1728896332,,21,441,0,,0,11
253,Alphonso Davies,74000,FC Bayern de Múnich,Canadá,0,0,1.81,,0,0,0,4,0,0,0,0,23.3,18,324,0,Extremo izquierdo,1,10
254,Andrea Petagna,9900,SPAL,Italia,0,1,1.9,,0,8,0,1768,0.2714932127,0,0.2714932127,0.2348873862,0.007724,23,529,0,Delantero centro,0,10
255,Andy Delort,18100,Montpellier Hérault SC,Francia,0,1,1.82,,0,7,4,1838,0.2285092492,0.1305767138,0.359085963,0.2153048624,,27,729,0,Delantero centro,0,10
256,Arnaut Danjuma,6600,Club Brugge KV,Países Bajos,0,0,1.78,,0,5,4,1173,0.2557544757,0.2046035806,0.4603580563,0.2488577258,,21,441,0,Extremo izquierdo,1,10
257,Ayoze Pérez,12100,,,0,0,1.78,,0,4,3,1745,0.1375358166,0.1031518625,0.2406876791,0.1328997779,135,25,625,0,,0,10
258,Benik Afobe,18100,Stoke City,RD del Congo,1,0,1.83,,0,8,2,2077,0.2311025518,0.05777563794,0.2888781897,0.2077326308,,25,625,0,Delantero centro,0,10
259,Carlos Vela,246000,Los Angeles FC,México,0,0,1.77,,0,105,71,25676,0.2453653217,0.1659136937,0.4112790154,0.2346527426,,29,841,0,Extremo derecho,0,10
260,Charlie Austin,33100,FC Southampton,Inglaterra,1,1,1.88,Nike,1,3,1,807,0.2230483271,0.07434944238,0.2973977695,0.2029990393,,29,841,0,Delantero centro,0,10
261,Cristhian Stuani,18100,Girona FC,Uruguay,0,1,1.84,,0,13,0,1557,0.5009633911,0,0.5009633911,0.4334177654,98.8,32,1024,1,Delantero centro,0,10
262,Divock Origi,40500,FC Liverpool,Bélgica,1,0,1.85,,0,3,2,263,0.6844106464,0.4562737643,1.140684411,0.6536506173,,23,529,0,Delantero centro,0,10
263,Dominic Solanke,27100,AFC Bournemouth,Inglaterra,0,1,1.86,adidas,0,2,0,180,0.6666666667,0,0.6666666667,0.5767790262,,21,441,0,Delantero centro,0,10
264,Dwight Gayle,22200,,,0,0,1.77,,0,14,6,1501,0.5596269154,0.2398401066,0.799467022,0.5165095929,82.2,28,784,0,,0,10
265,Fedor Chalov,,CSKA Moscú,Rusia,0,0,1.8,,0,11,4,1935,0.3410852713,0.1240310078,0.4651162791,0.3118195279,,20,400,0,Delantero centro,0,10
266,Filip Kostic,9900,Eintracht de Francfort,Serbia,0,0,1.84,Nike,1,3,6,1900,0.09473684211,0.1894736842,0.2842105263,0.1075103489,,26,676,0,Extremo izquierdo,1,10
267,Gianluca Caprari,2400,UC Sampdoria,Italia,0,1,1.71,,0,5,2,991,0.3027245207,0.1210898083,0.423814329,0.2782344471,22.2,25,625,0,Media punta,0,10
268,Henry Onyekuru,40500,Galatasaray Istanbul,Nigeria,0,0,1.75,,0,9,0,1662,0.3249097473,0,0.3249097473,0.2811016915,59.9,21,441,0,Extremo izquierdo,1,10
269,Iker Muniain,18100,Athletic Club,España,1,1,1.69,,0,6,2,1481,0.2430790007,0.08102633356,0.3241053342,0.2212292029,,26,676,0,Extremo izquierdo,1,10
270,Islam Slimani,74000,Fenerbahce Istanbul,Argelia,0,0,1.88,Nike,1,4,0,1777,0.1350590884,0,0.1350590884,0.1168488742,1300,30,900,0,Delantero centro,0,10
271,Ivan Cavaleiro,12100,,,0,0,1.75,,0,3,2,619,0.2907915994,0.1938610662,0.4846526656,0.277722314,18.5,25,625,0,,0,10
272,Johann Berg Gudmundsson,2900,FC Burnley,Islandia,1,0,1.86,,0,2,5,1881,0.06379585327,0.1594896332,0.2232854864,0.07669838539,25.5,28,784,0,Extremo derecho,0,10
273,Jony,,Deportivo Alavés,España,1,1,1.79,,0,2,6,1475,0.0813559322,0.2440677966,0.3254237288,0.1032946106,22.6,27,729,0,Extremo izquierdo,1,10
274,José Luis Morales,6600,Levante UD,España,1,1,1.8,,0,6,2,1826,0.1971522453,0.06571741512,0.2628696605,0.1794306952,,31,961,1,Extremo izquierdo,1,10
275,Josef Martínez,49500,Atlanta United FC,Venezuela,0,0,1.72,,0,100,23,14436,0.4156275977,0.09559434746,0.5112219451,0.3724770471,112,25,625,0,Delantero centro,0,10
276,Konstantinos Mitroglou,3600,Olympique de Marseille,Grecia,0,0,1.88,,0,3,0,737,0.2442333786,0,0.2442333786,0.2113030354,,30,900,0,Delantero centro,0,10
277,Leonardo Pavoletti,5400,Cagliari Calcio,Italia,0,1,1.88,Asics,0,9,1,1480,0.3648648649,0.04054054054,0.4054054054,0.3211357425,,30,900,0,Delantero centro,0,10
278,Luuk de Jong,49500,PSV Eindhoven,Países Bajos,0,0,1.88,,0,19,9,2421,0.4708798017,0.2230483271,0.6939281289,0.437464322,41.8,28,784,0,Delantero centro,0,10
279,Manolo Gabbiadini,9900,UC Sampdoria,Italia,0,1,1.81,,0,2,1,656,0.1829268293,0.09146341463,0.2743902439,0.1705946835,241,27,729,0,Delantero centro,0,10
280,Matej Vydra,9900,,,0,0,1.8,,0,2,1,512,0.234375,0.1171875,0.3515625,0.2185744382,,26,676,0,,0,10
281,Max Kruse,33100,SV Werder Bremen,Alemania,0,1,1.8,adidas,0,5,7,1758,0.1706484642,0.2389078498,0.409556314,0.1798519768,,30,900,0,Delantero centro,0,10
282,Nils Petersen,49500,SC Freiburg,Alemania,0,1,1.88,adidas,0,6,0,1342,0.2682563338,0,0.2682563338,0.2320869405,,30,900,0,Delantero centro,0,10
283,Oliver Burke,12100,Celtic FC,Escocia,0,0,1.88,adidas,0,6,3,837,0.4301075269,0.2150537634,0.6451612903,0.4011115138,40.9,21,441,0,Extremo derecho,0,10
284,Pione Sisto,33100,Celta de Vigo,Dinamarca,1,0,1.72,,0,2,1,761,0.1576872536,0.07884362681,0.2365308804,0.1470566522,,23,529,0,Extremo izquierdo,1,10
285,Rachid Ghezzal,18100,Leicester City,Argelia,1,0,1.82,Nike,1,3,0,879,0.204778157,0,0.204778157,0.177167619,,26,676,0,Extremo derecho,0,10
286,Ricardo Horta,3600,SC Braga,Portugal,0,0,1.73,,0,8,3,1594,0.3011292346,0.112923463,0.4140526976,0.2757531755,,24,576,0,Extremo izquierdo,1,10
287,Rodrygo,,Santos FC,Brasil,0,1,1.73,,0,9,3,3253,0.1660006148,0.05533353827,0.2213341531,0.1510792112,50,18,324,0,Extremo izquierdo,1,10
288,Steve Mounié,5400,Huddersfield Town,Benín,1,0,1.9,,0,1,3,1207,0.04971002486,0.1491300746,0.1988400994,0.06311497538,,24,576,0,Delantero centro,0,10
289,Tammy Abraham,6010,Aston Villa,Inglaterra,1,1,1.9,,0,19,1,2085,0.5467625899,0.02877697842,0.5755395683,0.4769218333,107,21,441,0,Delantero centro,0,10
290,Tom Ince,14800,Stoke City,Inglaterra,1,1,1.78,,0,6,5,2272,0.1584507042,0.1320422535,0.2904929577,0.1548900142,,26,676,0,Extremo derecho,0,10
291,Troy Deeney,49500,,,0,0,1.84,,0,6,2,1655,0.2175226586,0.07250755287,0.2900302115,0.1979700601,,30,900,0,,0,10
292,Valère Germain,18100,Olympique de Marseille,Francia,0,1,1.8,,0,3,0,1318,0.1365705615,0,0.1365705615,0.1181565532,96.5,28,784,0,Delantero centro,0,10
293,Viktor Tsyhankov,1000,Dynamo Kyiv,Ucrania,0,0,1.77,,0,11,8,2423,0.2723895997,0.198101527,0.4704911267,0.2623732303,,21,441,0,Extremo derecho,0,10
294,Yann Karamoh,14800,FC Girondins de Bordeaux,Francia,0,1,1.85,,0,3,3,1173,0.1534526854,0.1534526854,0.3069053708,0.1534526854,,20,400,0,Extremo derecho,0,10
295,Yevhen Konoplianka,5400,FC Schalke 04,Ucrania,0,0,1.78,,0,1,2,931,0.06444683136,0.1288936627,0.1933404941,0.07313629177,21.4,29,841,0,Extremo izquierdo,1,10
296,Yoshinori Muto,3050,Newcastle United,Japón,1,0,1.78,,0,1,0,539,0.1113172542,0,0.1113172542,0.0963081862,,26,676,0,Delantero centro,0,10
297,Sardar Azmoun,40500,Rubin Kazan,Irán,0,0,1.86,,0,5,4,1439,0.2084781098,0.1667824878,0.3752605976,0.2028562282,,24,576,0,Delantero centro,0,9.5
298,Alexandre Pato,110000,Tianjin Tianhai,Brasil,0,1,1.8,,0,149,46,24836,0.3599613464,0.1111290063,0.4710903527,0.3264109185,,29,841,0,Delantero centro,0,9
